SR,original,stn,lidl,apdl,cidl
44.1,,96.2702,96.4147,96.1078,96.4147
48,6.5444,32.8839,34.2429,53.0837,51.3663
88.2,-4.4050,22.2154,63.8972,63.8969,63.8972
96,-4.0459,21.8044,40.0173,61.1882,63.1741
