SR,original,stn,lidl,apdl,cidl
44.1,-2.6560,-2.6560,-2.6560,-2.6560,-2.6560
48,-1.9068,-2.6353,-2.6360,-2.6560,-2.6569
88.2,-3.0947,-2.5626,-2.6560,-2.6560,-2.6560
96,-2.5911,-2.5566,-2.6463,-2.6560,-2.6560
