SR,original,stn,lidl,apdl,cidl
44.1,-2.4845,-2.4845,-2.4845,-2.4845,-2.4845
48,-3.2164,-2.4189,-2.4329,-2.4843,-2.4860
88.2,-3.5282,-2.1890,-2.4845,-2.4845,-2.4845
96,-3.1947,-2.1709,-2.4597,-2.4845,-2.4845
