SR,original,stn,lidl,apdl,cidl
44.1,,86.3687,86.4127,86.3318,86.4127
48,6.1303,27.9572,29.2972,50.0463,50.8186
88.2,-4.8427,17.0791,64.8845,64.8840,64.8845
96,-4.5104,16.7025,35.3899,60.2735,64.1664
